year,city,local_temp,global_temp,"local_temp
5 yr moving avg","global_temp
5 yr moving avg","differences 
(local - global)"
1849,San Jose,14.12,7.98,,,
1850,San Jose,13.80,7.90,,,
1851,San Jose,14.39,8.18,,,
1852,San Jose,13.81,8.10,,,
1853,San Jose,14.40,8.04,14.10,8.04,6.06
1854,San Jose,13.98,8.21,14.08,8.09,5.99
1855,San Jose,14.20,8.11,14.16,8.13,6.03
1856,San Jose,14.10,8.00,14.10,8.09,6.01
1857,San Jose,14.78,7.76,14.29,8.02,6.27
1858,San Jose,14.19,8.10,14.25,8.04,6.21
1859,San Jose,13.71,8.25,14.20,8.04,6.15
1860,San Jose,13.81,7.96,14.12,8.01,6.10
1861,San Jose,14.88,7.85,14.27,7.98,6.29
1862,San Jose,14.43,7.56,14.20,7.94,6.26
1863,San Jose,14.43,8.11,14.25,7.95,6.31
1864,San Jose,15.18,7.98,14.55,7.89,6.65
1865,San Jose,14.32,8.18,14.65,7.94,6.71
1866,San Jose,14.67,8.29,14.61,8.02,6.58
1867,San Jose,14.46,8.44,14.61,8.20,6.41
1868,San Jose,14.25,8.25,14.58,8.23,6.35
1869,San Jose,14.57,8.43,14.45,8.32,6.14
1870,San Jose,14.19,8.20,14.43,8.32,6.11
1871,San Jose,14.34,8.12,14.36,8.29,6.07
1872,San Jose,14.63,8.19,14.40,8.24,6.16
1873,San Jose,14.46,8.35,14.44,8.26,6.18
1874,San Jose,14.09,8.43,14.34,8.26,6.08
1875,San Jose,14.76,7.86,14.46,8.19,6.27
1876,San Jose,14.44,8.08,14.48,8.18,6.29
1877,San Jose,15.03,8.54,14.56,8.25,6.30
1878,San Jose,14.37,8.83,14.54,8.35,6.19
1879,San Jose,14.20,8.17,14.56,8.30,6.26
1880,San Jose,13.22,8.12,14.25,8.35,5.90
1881,San Jose,14.39,8.27,14.24,8.39,5.86
1882,San Jose,13.58,8.13,13.95,8.30,5.65
1883,San Jose,13.93,7.98,13.86,8.13,5.73
1884,San Jose,14.05,7.77,13.83,8.05,5.78
1885,San Jose,15.05,7.92,14.20,8.01,6.19
1886,San Jose,14.58,7.95,14.24,7.95,6.29
1887,San Jose,14.38,7.91,14.40,7.91,6.49
1888,San Jose,14.70,8.09,14.55,7.93,6.62
1889,San Jose,14.81,8.32,14.70,8.04,6.67
1890,San Jose,14.05,7.97,14.50,8.05,6.46
1891,San Jose,14.46,8.02,14.48,8.06,6.42
1892,San Jose,14.05,8.07,14.41,8.09,6.32
1893,San Jose,13.40,8.06,14.15,8.09,6.07
1894,San Jose,13.80,8.16,13.95,8.06,5.90
1895,San Jose,13.95,8.15,13.93,8.09,5.84
1896,San Jose,14.22,8.21,13.88,8.13,5.75
1897,San Jose,13.81,8.29,13.84,8.17,5.66
1898,San Jose,13.77,8.18,13.91,8.20,5.71
1899,San Jose,14.04,8.40,13.96,8.25,5.71
1900,San Jose,14.64,8.50,14.10,8.32,5.78
1901,San Jose,14.34,8.54,14.12,8.38,5.74
1902,San Jose,14.07,8.30,14.17,8.38,5.79
1903,San Jose,14.12,8.22,14.24,8.39,5.85
1904,San Jose,14.50,8.09,14.33,8.33,6.00
1905,San Jose,14.39,8.23,14.28,8.28,6.01
1906,San Jose,14.81,8.38,14.38,8.24,6.13
1907,San Jose,14.34,7.95,14.43,8.17,6.26
1908,San Jose,14.01,8.19,14.41,8.17,6.24
1909,San Jose,14.05,8.18,14.32,8.19,6.13
1910,San Jose,14.17,8.22,14.28,8.18,6.09
1911,San Jose,13.46,8.18,14.01,8.14,5.86
1912,San Jose,13.95,8.17,13.93,8.19,5.74
1913,San Jose,14.38,8.30,14.00,8.21,5.79
1914,San Jose,14.33,8.59,14.06,8.29,5.77
1915,San Jose,14.30,8.59,14.08,8.37,5.72
1916,San Jose,13.61,8.23,14.11,8.38,5.74
1917,San Jose,14.06,8.02,14.14,8.35,5.79
1918,San Jose,14.14,8.13,14.09,8.31,5.78
1919,San Jose,13.60,8.38,13.94,8.27,5.67
1920,San Jose,13.72,8.36,13.83,8.22,5.60
1921,San Jose,14.24,8.57,13.95,8.29,5.66
1922,San Jose,13.61,8.41,13.86,8.37,5.49
1923,San Jose,14.13,8.42,13.86,8.43,5.43
1924,San Jose,14.10,8.51,13.96,8.45,5.51
1925,San Jose,14.34,8.53,14.08,8.49,5.60
1926,San Jose,15.14,8.73,14.26,8.52,5.74
1927,San Jose,14.24,8.52,14.39,8.54,5.85
1928,San Jose,14.32,8.63,14.43,8.58,5.84
1929,San Jose,14.25,8.24,14.46,8.53,5.93
1930,San Jose,14.25,8.63,14.44,8.55,5.89
1931,San Jose,14.93,8.72,14.40,8.55,5.85
1932,San Jose,14.24,8.71,14.40,8.59,5.81
1933,San Jose,13.93,8.34,14.32,8.53,5.79
1934,San Jose,15.31,8.63,14.53,8.61,5.93
1935,San Jose,14.12,8.52,14.51,8.58,5.92
1936,San Jose,15.13,8.55,14.55,8.55,6.00
1937,San Jose,14.36,8.70,14.57,8.55,6.02
1938,San Jose,14.35,8.86,14.65,8.65,6.00
1939,San Jose,14.81,8.76,14.55,8.68,5.88
1940,San Jose,15.12,8.76,14.75,8.73,6.03
1941,San Jose,14.98,8.77,14.72,8.77,5.95
1942,San Jose,14.20,8.73,14.69,8.78,5.92
1943,San Jose,14.72,8.76,14.77,8.76,6.01
1944,San Jose,14.17,8.85,14.64,8.77,5.86
1945,San Jose,14.41,8.58,14.50,8.74,5.76
1946,San Jose,13.83,8.68,14.27,8.72,5.55
1947,San Jose,14.51,8.80,14.33,8.73,5.59
1948,San Jose,13.65,8.75,14.11,8.73,5.38
1949,San Jose,13.90,8.59,14.06,8.68,5.38
1950,San Jose,14.66,8.37,14.11,8.64,5.47
1951,San Jose,14.06,8.63,14.16,8.63,5.53
1952,San Jose,14.11,8.64,14.08,8.60,5.48
1953,San Jose,14.42,8.87,14.23,8.62,5.61
1954,San Jose,14.18,8.56,14.29,8.61,5.67
1955,San Jose,13.74,8.63,14.10,8.67,5.44
1956,San Jose,14.08,8.28,14.11,8.60,5.51
1957,San Jose,14.59,8.73,14.20,8.61,5.59
1958,San Jose,15.41,8.77,14.40,8.59,5.81
1959,San Jose,15.39,8.73,14.64,8.63,6.01
1960,San Jose,14.59,8.58,14.81,8.62,6.19
1961,San Jose,14.65,8.80,14.93,8.72,6.20
1962,San Jose,14.22,8.75,14.85,8.73,6.13
1963,San Jose,14.19,8.86,14.61,8.74,5.86
1964,San Jose,14.24,8.41,14.38,8.68,5.70
1965,San Jose,14.14,8.53,14.29,8.67,5.62
1966,San Jose,14.74,8.60,14.31,8.63,5.68
1967,San Jose,14.50,8.70,14.36,8.62,5.74
1968,San Jose,14.66,8.52,14.46,8.55,5.90
1969,San Jose,14.51,8.60,14.51,8.59,5.92
1970,San Jose,14.76,8.70,14.63,8.62,6.01
1971,San Jose,13.89,8.60,14.46,8.62,5.84
1972,San Jose,14.25,8.50,14.41,8.58,5.83
1973,San Jose,14.58,8.95,14.40,8.67,5.73
1974,San Jose,14.41,8.47,14.38,8.64,5.73
1975,San Jose,13.82,8.74,14.19,8.65,5.54
1976,San Jose,14.72,8.35,14.36,8.60,5.75
1977,San Jose,14.63,8.85,14.43,8.67,5.76
1978,San Jose,14.96,8.69,14.51,8.62,5.89
1979,San Jose,14.99,8.73,14.62,8.67,5.95
1980,San Jose,14.74,8.98,14.81,8.72,6.09
1981,San Jose,15.22,9.17,14.91,8.88,6.02
1982,San Jose,14.00,8.64,14.78,8.84,5.94
1983,San Jose,15.07,9.03,14.80,8.91,5.89
1984,San Jose,14.97,8.69,14.80,8.90,5.90
1985,San Jose,14.23,8.66,14.70,8.84,5.86
1986,San Jose,15.00,8.83,14.65,8.77,5.88
1987,San Jose,14.95,8.99,14.84,8.84,6.00
1988,San Jose,15.08,9.20,14.85,8.87,5.97
1989,San Jose,14.45,8.92,14.74,8.92,5.82
1990,San Jose,14.73,9.23,14.84,9.03,5.81
1991,San Jose,14.50,9.18,14.74,9.10,5.64
1992,San Jose,15.53,8.84,14.86,9.07,5.78
1993,San Jose,14.97,8.87,14.84,9.01,5.83
